CT1:de:static:53 ;DESL                                                                      ;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ DESL...                                                                                                                                                                                                                                                                                                                                                                                                            ;2) Moderne Chiffren
CT1:de:static:54 ;DESX                                                                      ;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ DESX...                                                                                                                                                                                                                                                                                                                                                                                                            ;2) Moderne Chiffren
CT1:de:static:55 ;DESXL                                                                     ;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ DESXL...                                                                                                                                                                                                                                                                                                                                                                                                           ;2) Moderne Chiffren
CT1:de:static:56 ;Dragon                                                                    ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:57 ;Dynamic Group Keying (DGK)                                                ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:58 ;ECC-AES                                                                   ;X;Ver-/Entschlüsseln\ Hybrid\ RSA-ECC                                                                                                                                                                                                                                                                                                                                                                                                                                              ;2) Moderne Chiffren
CT1:de:static:59 ;ECIES                                                                     ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:60 ;ElGamal                                                                   ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:61 ;Erweitertes RSA-Kryptosystem (Identitäten / multi-prime)                  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:62 ;Grain v1                                                                  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:63 ;HC128                                                                     ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:64 ;HIGHT                                                                     ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:65 ;IDEA                                                                      ;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ IDEA...                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:66 ;LFSR                                                                      ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:67 ;MARS                                                                      ;X;Ver-/Entschlüsseln\Symmetrisch (modern)\ Weitere Algorithmen\ MARS...                                                                                                                                                                                                                                                                                                                                                                                                            ;2) Moderne Chiffren
CT1:de:static:68 ;McEliece Fujisaki                                                         ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:69 ;McEliece Kobara Imai                                                      ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:70 ;McEliece PKCS                                                             ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:71 ;McEliece Pointcheval                                                      ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:72 ;MeRSA                                                                     ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:73 ;Mickey 2                                                                  ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:74 ;Misty-1 (Kasumi)                                                          ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:75 ;MpRSA                                                                     ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:76 ;Niederreiter                                                              ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:77 ;NLFSR                                                                     ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:78 ;Paillier-Verschlüsselungssystem                                           ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
CT1:de:static:79 ;PRESENT                                                                   ; ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2) Moderne Chiffren
